department_id,name,division,service_locations,hours,primary_phone,website_section,kpi_count,notes
permits,"Permits & Licensing","Planning & Development","Clayton HQ|NW Crossings|South County","Mon-Thu 8am-3:30pm","314-615-5000","/permits-applications",6,"Online portal available for submissions"
revenue,"Revenue & Taxation","Finance","Clayton HQ|NW Crossings|South County","Mon-Thu 8am-3:30pm","314-615-5000","/payments-property-taxes",6,"Online payment portal; Senior Freeze applications open annually"
parks,"Parks & Recreation","Parks","70+ parks and rec centers","Varies by facility","314-615-4386","/parks-recreation",6,"Over 70 parks; rec centers; trails; seasonal events"
animal,"Animal Services","Public Safety","Animal Shelter","Mon-Thu 8am-3:30pm","314-615-0650","/adopt-a-pet",6,"Adoption; foster; spay-neuter; field response"
records,"Vital Records","Administration","Clayton HQ","Mon-Thu 8am-3:30pm","314-615-0376","/birth-death-records",3,"Birth and death certificates; online ordering available"
elections,"Board of Elections","Independent","Election Board Office","Mon-Thu 8am-3:30pm","314-615-1800","/election-information",4,"Voter registration; polling locations; election results"
customer,"Customer Service","Administration","Clayton HQ|NW Crossings|South County","Mon-Thu 8am-3:30pm","314-615-5000","/resident-customer-service",5,"Qless virtual queue available; no Friday service"
procurement,"Procurement","Finance","Clayton HQ","Mon-Thu 8am-3:30pm","314-615-7056","/bid-opportunities",4,"Chapter 107 procurement code; vendor registration"
planning,"Planning & Zoning","Planning & Development","Clayton HQ","Mon-Thu 8am-3:30pm","314-615-2500","/planning-and-zoning",3,"Land use; variances; comprehensive plan; GIS"
health,"Public Health","Health","Multiple clinic locations","Varies","314-615-0600","",4,"Inspections; immunizations; WIC; environmental health"
transport,"Transportation","Public Works","Operations Center","Mon-Thu 8am-3:30pm","314-615-8500","",4,"Roads; signals; ADA; snow removal"
police,"Police Department","Public Safety","Precinct stations","24/7","314-615-5000","",4,"Law enforcement; community policing; crime stats"
justice,"Justice Services","Public Safety","Justice Center","Mon-Thu 8am-3:30pm","314-615-4700","",3,"Pretrial; probation; diversion; reentry"
human_svc,"Human Services","Human Services","Multiple locations","Mon-Thu 8am-3:30pm","314-615-4800","",4,"CDBG; homeless; aging; disability; veterans"
